model,model_year,milage,fuel_type,transmission,ext_col,car/sedan,condition,location,no_of_seats,cc,power_steering,push_start,power_seat,price
vitz,1999,167000,petrol,automatic,brown,car,medium,hikkaduwa,5,1000,yes,no,no,"3,500,000"
aqua,2013,91000,petrol,automatic,light blue,car,mint,kurunegala,5,1500,yes,yes,no,"6,800,000.00"
aqua urban,2015,117000,hybrid,automatic,black,car,mint,kadawatha,5,1500,yes,yes,no,"8,490,000.00"
vitz,2018,84000,petrol,automatic,white,car,high,negombo,5,1000,yes,yes,no,"7,800,000"
Toyota Premio G superior,2013,48900,petrol,automatic,pearl white,sedan,mint,ragama,5,1500,yes,yes,yes,"11,500,000.00"
Toyota Premio G superior,2013,162000,petrol,automatic,pearl white,sedan,mint,dehiwala,5,1500,yes,yes,yes,"10,490,000.00"
Toyota Axio WXB ,2017,121000,hybrid,automatic,black,sedan,mint,nugegoda,5,1500,yes,yes,yes,"11,750,000.00"
Toyota Axio G Grade,2015,180000,hybrid,automatic,dark maroon,sedan,mint,divulapitiya,5,1500,yes,yes,yes,"9,100,000.00"
Corolla 121 g grade,2005,137250,petrol,automatic,impulse red ,sedan,mint,colombo,4,1500,yes,no,no,"6,450,000.00"
Toyota Premio,2015,150000,petrol,automatic,black,sedan,mint,gampaha,5,1500,yes,yes,yes,"12,150,000.00"
yaris,2006,122200,petrol,automatic,dark blue,car,mint,pannipitiya,5,1300,yes,yes,no,"6,100,000.00"
yaris,2007,112000,petrol,manual,black,car,mint,matara,5,1300,yes,yes,no,"6,250,000.00"
Corolla 121 g grade,2002,185000,petrol,automatic,desert sand mica,sedan,mint,polonnaruwa,4,1500,yes,no,no,"6,300,000.00"
Toyota Axio WXB ,2017,142000,petrol,automatic,white,sedan,mint,colombo,5,1490,yes,yes,yes,"11,650,000.00"
Toyota Premio G superior,2011,950000,petrol,automatic,wine red,sedan,medium,dehiwala,5,1500,yes,yes,yes,"9,500,000.00"
